epoch,acc,loss,lr,val_acc,val_loss
0,0.3003804075582812,3.0406725756065067,0.001,0.25781291294058367,3.6754192401388086
1,0.48287218972667534,2.070892881994132,0.001,0.3692736790395376,3.0028794277876054
2,0.5517878730652052,1.7864919850390326,0.001,0.42078781021082134,2.545858086697233
3,0.5699745480638563,1.8581258189431142,0.001,0.5120947455162265,2.2584172825782574
4,0.600857966155888,1.5806539660806584,0.001,0.5066603565574238,2.062404881617786
5,0.6169523832503735,1.4805048915701802,0.001,0.5209124135403191,1.9505114762753053
6,0.6279632700521276,1.4243018719166312,0.001,0.4568973280296435,2.5446451696449244
7,0.6372179272558951,1.3764445881500866,0.001,0.5167162274119533,2.0856509453064533
8,0.6454076784250197,1.3341743720011447,0.001,0.3953155802140214,3.3992303929265844
9,0.6756721056017992,1.1963047820750357,0.0003,0.6227474986347844,1.463968793584343
10,0.6860723287012482,1.1491567807271967,0.0003,0.6117460910917057,1.5333466735977836
11,0.6935717360032376,1.1154356163851233,0.0003,0.6043599421275871,1.5889453339958652
12,0.701017587770119,1.0842235700971872,0.0003,0.6026714837428762,1.589586761146283
13,0.7212277801712447,1.0076917775534078,9e-05,0.6147128837724951,1.5477689786359299
14,0.7263873985116803,0.9876071396311666,9e-05,0.6120235855666502,1.5918198197137314
15,0.7350710688397757,0.9573210127737174,2.7e-05,0.5955001849982935,1.7673493531681501
16,0.7367690078057426,0.9508444171603383,2.7e-05,0.6129945714797439,1.6030171865477587
17,0.7398161216523559,0.9405016185708183,8.1e-06,0.6126798819952884,1.6089051957702847
18,0.7402584446251518,0.938722880077498,8.1e-06,0.6120705687468883,1.6120275285264847
19,0.7412524875542837,0.9354682252548931,2.43e-06,0.6121385964904619,1.6140852280801512
20,0.7414343804310308,0.9349124814896079,2.43e-06,0.5942311494619147,1.6742603889873287
21,0.7417018315363417,0.9339420327218763,1e-06,0.6121518105153954,1.61462139767216
22,0.7418058402937611,0.933710635387945,1e-06,0.612008413904841,1.6157337875899
23,0.7418086160447757,0.9334506482561266,1e-06,0.612041693664287,1.6159340429179918
24,0.7418038809427646,0.9332578836940336,1e-06,0.5941381618959561,1.6970788087123947
25,0.7419171966137773,0.9331024783865509,1e-06,0.6119677930219877,1.6157916389546814
26,0.7419509953844622,0.9329155916979469,1e-06,0.612160619863484,1.6184845233207152
27,0.7420345942566963,0.9327021153656728,1e-06,0.6119168945663642,1.617004964147835
28,0.7420422683772216,0.9323460280998901,1e-06,0.6118601232120151,1.6173983509709828
29,0.7421175400201585,0.9323406504646502,1e-06,0.6117999259972754,1.6169969196363883
